description,26FP12B,26FP12C,26FP12D,26FP12E1.3.LA,26FP12E1.3.ME,26FP12E1.3.YE,26FP12E1.TE,26FP12E2.TE,26FP12I,26FP15B,26FP15C,26FP15D,26FP15E1.3.LA,26FP15E1.3.ME,26FP15E1.TE,26FP15E2.TE,26FP15E3.TE,26FP15E4.6.LA,26FP16B,26FP16C,26FP16D,26FP16E1.2.LA,26FP16E1.2.ME,26FP16E1.TE,26FP16E1.YE,26FP16I,26FP17B,26FP17C,26FP17D,26FP17E1.2.LA,26FP17E1.2.ME,26FP17E1.TE,26FP17E2.TE,26FP18B,26FP18C,26FP18D,26FP18E1.3.ME,26FP18E1.TE,26FP18E1.YE,26FP18E4.8.LA,26FP3B,26FP3C,26FP3D,26FP3E2.TE,26FP3E3.TE,26FP3E4.LA,26FP3E4.TE,26FP3E9.7.LA,26FP3I,26FP7B,26FP7C,26FP7D,26FP7E1.TE,26FP7E2.TE,26FP7E3.TE,26FP7I,26FP8B,26FP8C,26FP8D,26FP8E1.2.LA,26FP8E1.ME,26FP8E1.TE,26FP8E1.YE,26FP8E2.TE,26FP8I
L-glutamate degradation V (via hydroxyglutarate),0,0,19.184739,0,0,0,0,0,628.172388,0,0,3.965937,29.521181,0,0,0,0,0,0,0,3.947696,0,0,0,0,0,0,0,18.96733,0,0,0,0,0,15.85032,108.840022,0,0,0,0,406.353267,7.921454,19.185117,0,0,0,0,0,0,11.31149,50.601716,0,0,0,0,23.427393,48.965771,110.450573,0,0,0,0,0,0,81.4178825
L-lysine fermentation to acetate and butanoate,0,0,0,0,0,0,0,0,16.991381,0,0,0,11.027701,0,0,0,0,0,0,0,0,0,0,0,0,0,4.530507,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.63686,0,0,0,0,2.659116,0,0,0,0.8026926,2.603808,5.682245,0,0,0,7.171645,0,16.84961,0,0,0,0,0,0,8.6994225
purine nucleobases degradation I (anaerobic),163.284957,23.8877635,934.970371,7.996969,0,0,0,0,5346.884574,15.973288,158.160873,364.931018,621.021708,0,0,0,0,0,234.458172,0,23.94525,0,0,0,0,0,0,79.353454,4164.653,23.97137,0,0,0,519.679253,1211.95,3626.916473,0,0,0,0,4756.392583,677.116951,625.964755,378.729807,0,23.977394,0,0,8.01991,265.4058,532.681441,7.992264,0,134.5884,0,181.272108,721.660182,12754.47073,1082.94663,0,0,0,0,0,493.8424518
protocatechuate degradation I (meta-cleavage pathway),1919.639029,217.0115193,1487.594245,664.503226,1653.490327,485.0334,8745.281,10797.2,573.77737,692.852542,191.17552,969.530696,1415.609651,1802.756927,274.234897,1511.777079,519.745821,954.4578,1557.77461,966.382442,1243.605,825.347864,1389.334955,1209.836351,754.437844,5.4373688,3172.069749,1248.777092,4248.594,970.1148,1148.077461,1366.907593,2478.87,569.672873,3181.791,4083.599923,985.452724,731.1236,801.336866,1518.86,224.63698,1903.229987,1391.075008,1590.367843,3362.218683,1945.871023,8629.556,1636.15,0,1034.152,2770.536384,1321.971062,1253.06463,1422.254,1045.970353,19.40102,4598.636579,764.639079,4256.895874,673.796875,1310.831104,556.268397,1106.266085,665.496118,31.4193826
octane oxidation,6434.974075,303.5519659,3871.576302,6032.905001,4884.815529,5008.92,25249.87,47387.65,959.612593,6566.149725,268.01071,3382.337925,5100.218674,7631.37009,1849.685332,4018.856283,3444.815024,5482.423,6948.548974,1267.125094,6565.013,4084.736983,7136.095021,10317.95094,3863.285703,7.9356846,6907.695291,1713.492007,10189.15,4864.277,6929.925308,8286.380092,6882.017,751.955602,6950.168,9984.167881,5052.98107,6368.723,7139.754209,10578.78,333.413951,2875.562562,3508.575015,6592.872009,4385.55736,8929.248599,43852.35,5699.951,0,7529.484,3995.049848,5314.108259,4723.99055,5037.997,5438.059083,19.489618,9904.286499,1148.620661,13830.09486,4609.643557,3592.720409,2248.271788,4910.33672,2527.753729,709.9463415
reductive TCA cycle I,2228.931957,4909.955842,933.747595,6.362105,0,0,3.499577,0,3046.475111,791.81205,10556.95723,1022.248069,647.024185,0,0,0,0,0,1358.649957,4295.04998,501.9987,10.493992,0,0,0,14.4307749,8365.782484,9184.849887,3045.636,86.5792,0,40.958312,35.98487,5815.318609,2809.241,4814.107883,76.723341,51.48931,0,0,4508.460568,1881.61314,1110.481377,41.631344,0,41.163558,2390.458,4.556439,6.535459,421.8431,7477.437155,908.540627,0,250.94,0,90.937586,2087.435058,13771.32372,2140.572504,6.986467,0,0,0,0,549.141994
coenzyme M biosynthesis I,0,0,0,0,0,0,0,0,18.63743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.923284
3-phenylpropanoate degradation,5661.818888,230.6146201,3286.098763,4978.030762,3946.230943,4080.415,22575.05,41684.49,675.983468,5855.26522,203.006273,3018.438682,4310.642296,6069.624558,1582.118027,4268.443141,2757.966879,4492.914,5981.422814,1202.281571,5817.799,3253.78426,5867.082747,8619.980182,3032.342114,7.6300578,5944.413256,1380.998209,7876.792,3942.773,5672.494777,7175.268477,6043.753,2933.529795,5800.053,8122.873076,4136.191201,5301.153,5852.363137,8979.813,253.132782,2310.530836,2907.158591,5750.927493,3683.996634,7243.420984,37620.9,4601.371,0,6639.873,3549.887992,4383.791082,4294.813863,4180.568,4478.355205,18.441649,8689.792379,3946.189452,12691.74863,3527.009276,2895.994021,2015.149635,3951.466759,2056.861769,36.8865563
glycolysis V (Pyrococcus),0,0,0,0,0,0,0,0,129.920449,0,0,0,7.496352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4385,0,0,0,0,0,0,14.987243,0,0,0,0,337.172615,0,0,0,0,0,0,0,1.348874,0,0,0,0,0,0,5.774247,0,12.495837,27.468065,0,0,0,0,14.979093,9.1313216
adenosylcobalamin biosynthesis II (late cobalt incorporation),89.89883,0,182.344844,0,0,0,10.9762,0,61.821492,0,0,37.057457,36.336581,0,0,0,0,0,19.51153,37.128238,19.10613,0,0,24.642849,0,0,71.813449,155.209683,392.2135,7.040931,0,58.971754,23.87101,36.09571,282.8415,547.264102,0,0,0,0,146.163098,110.528156,259.139028,85.105634,0,12.482388,816.0048,0,0,115.114,258.856688,68.451787,0,26.24322,0,0,219.016803,426.265712,279.07886,0,0,0,0,0,52.7974432
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",2713.431314,4526.722315,1896.777683,5021.738767,3883.749407,2487.329,29858.28,37997.16,5733.008853,1514.485095,9175.191405,1641.909903,4269.553782,5925.121977,1632.551992,7046.620139,2152.272965,3589.047,2334.527488,5372.818694,3306.121,2654.32355,6278.185277,6505.046122,2615.214216,15.7191136,4177.053743,8427.630869,6684.677,5464.002,4369.904925,7121.75851,11103.62,4584.66111,4944.058,6466.828286,3988.780092,3056.106,3819.868206,8050.299,6769.386041,3934.917095,2185.93484,8604.885159,5480.865361,6472.584727,26010.02,3584.803,12.146204,2015.511,5178.370658,2296.393312,4041.487366,3860.342,4216.941712,154.989056,6862.601893,13694.78444,5604.064836,5426.133323,2855.247609,2442.21752,5789.797228,3034.0331,876.4129864
incomplete reductive TCA cycle,1723.883656,6953.4229,862.103294,9.128049,0,1.136198,6845.588,2804.505,2818.332432,504.619652,10407.44845,709.035651,396.157616,86.718406,128.155212,896.095982,62.497123,0,985.912449,6796.491199,1286.241,5.998515,0,100.345382,0,17.2690861,7182.114695,13170.77556,4949.049,50.49945,9.597384,294.231822,978.1413,6008.97949,2077.993,4671.825034,52.7012,100.4291,47.191304,812.2455,7703.470452,1740.300537,1602.590409,785.291742,383.823542,348.349807,2977.894,57.35758,5.628415,607.5572,8657.937019,1489.79537,564.577464,305.2893,80.891708,114.856332,1863.879475,14509.1463,1552.968209,31.238353,0,299.847827,58.645165,111.408264,844.3495656
superpathway of N-acetylneuraminate degradation,1115.724341,2684.977089,480.929328,0,0,0,0,0,4844.397733,104.652727,8454.851027,348.096371,302.320671,0,0,0,3.529329,0,357.431053,526.507399,142.2124,0,0,0,0,10.0585264,73.719903,3894.014022,686.3019,699.3266,0,0,7.879234,3859.430427,2393.869,944.730223,98.865912,0,0,0,7623.374669,3145.219105,285.991881,87.337246,0,23.634494,0,0,4.426294,124.1822,788.328551,138.436709,0,112.6169,15.758385,190.741378,4268.424371,17633.40565,2126.434431,0,0,0,0,0,458.1747688
"hexitol fermentation to lactate, formate, ethanol and acetate",195.01743,47.4663548,207.980413,0,0,0,2239.287,631.6417,733.104392,73.135972,156.136338,184.987406,28.245651,0,0,0,0,0,176.087076,310.309127,53.54644,154.879618,0,0,0,1.7200811,23.973786,352.842,126.9498,6.578513,0,13.994542,4.399529,3493.995144,583.7725,355.141517,0,15.99073,0,51.94661,2610.372454,717.752499,120.946992,0,7.997641,0,0,0,7.1325,36.7368,427.095161,57.152614,0,10.57452,3.999345,63.489308,429.201386,14387.6269,1568.742431,0,0,0,0,7.995808,102.6061715
myo-inositol degradation I,148.324094,25.570658,217.334307,34.875,99.789474,28.48065,2725.296,2330.299,175.942384,71.972078,22.27445,119.620701,37.995453,4.5,19.601616,95.686858,28.387314,40.5,180.655839,97.377809,325.3913,24.929257,11.25,34.728517,19.125,6.0711786,290.199029,128.288733,1648.07,6.75,14.970297,134.590828,893.4676,51.204457,498.0329,1035.915641,18.356941,55.55444,55.690696,378.9709,47.041427,236.695739,440.085637,162.384941,88.519624,197.089553,1923.927,59.95,6.572549,173.7644,353.426553,436.528416,102.724764,67.33194,58.563173,3.877761,165.690683,2150.336503,885.380125,36.287093,5.625,49.609488,5.625,65.444773,474.1627233
nylon-6 oligomer degradation,0,0,0,0,0,0,2081.855,1377.236,22.61983,0,0,0,0,0,56.434922,385.576332,7.501325,0,0,0,0,0,0,40.623853,0,1,0,0,0,0,4.615385,147.628611,376.1779,0,0,0,0,43.65432,0,279.0667,0,0,0,299.836384,186.584039,174.864087,1073.211,0,0,0,0,0,211.821193,115.001,41.661843,0,0,0,0,0,0,105.878693,0,55.121759,0
phosphopantothenate biosynthesis I,6049.319422,5322.8978,3802.790465,12393.21557,10557.85936,8449.836,45941.84,60625.79,8131.283555,5796.975649,8450.582114,3251.887853,8746.501772,15093.09219,3843.826433,10006.01315,6667.883255,11006.43,6192.80986,9459.332495,6367.528,8697.406486,12103.21191,16295.34937,7432.930739,18.6940815,7432.115315,9965.543004,10879.34,11467.41,12457.55828,13621.50397,17194.53,4788.435356,7595.458,10775.37585,10072.0382,10458.81,13482.94615,19987.94,8724.100242,4531.616923,3753.664635,15836.78062,11888.75122,14790.32856,58027.13,12265.39,10.803436,6635.277,6477.012168,4948.308682,6819.432325,7513.244,9351.833364,209.630028,10730.13946,13992.79834,13262.81966,10765.96419,6217.373552,4445.033114,9943.842014,6236.508738,1063.133867
pantothenate and coenzyme A biosynthesis I,5602.651471,5311.643137,3456.561243,12051.03585,10149.69987,8153.684,43182.88,57212.01,8367.513835,5379.068047,8446.812508,2988.699131,8468.715544,14656.57776,3732.257229,9569.158683,6451.966768,10693.44,5728.521321,9408.239962,5804.255,8446.069201,11785.40137,15692.8466,7229.870517,16.8752408,6964.415896,9900.019688,9572.674,11272.43,12070.88288,13064.99638,16574.21,4640.52202,6899.828,9677.244638,9750.232018,10030.13,13055.79332,19166.28,9102.440264,4226.543019,3319.195226,15345.80889,11157.41178,14130.06279,54524.44,11832.67,11.021288,6125.398,6203.189108,4459.742868,6419.813717,7188.127,9019.328509,230.146207,10010.42192,14486.15886,12249.90081,10520.09345,5930.980732,4252.818857,9648.241245,6074.08902,939.1686178
pentose phosphate pathway,2020.341753,2676.576097,1646.329226,10652.37227,9170.978746,6914.633,36326.87,37092.77,3280.431398,1413.934125,8777.215029,1260.962627,7057.512694,12818.74213,3270.754848,8731.063718,5688.425198,9474.888,1694.843807,938.319158,2607.451,7579.075359,9793.429079,12839.51095,6363.320315,17.3815514,1989.931703,4191.396577,5746.388,10385.17,10392.41325,10683.85732,15159.96,3920.270036,4190.201,5388.587441,8558.258007,8368.7,11483.32054,16596.85,6648.662709,3733.496291,1816.931434,14140.69718,10203.21419,11776.6755,37355.75,10658.92,15.533321,1638.349,2176.380623,1820.722711,4875.249227,5634.401,7591.483083,156.295919,5721.173669,16369.41619,5342.992487,9603.498756,4896.301462,3722.712162,8477.037613,5603.339473,1063.415103
peptidoglycan biosynthesis I (meso-diaminopimelate containing),5367.21502,5323.992519,3345.012261,12436.98914,10327.50553,8316.283,42799.18,56519.11,9786.465887,5145.767355,8472.911501,2889.813238,8709.886605,15052.18056,3885.293315,9806.964824,6601.766119,10947.57,5476.685556,9491.058041,5576.022,8728.759761,12244.39948,16051.63723,7449.014727,16.3221286,6727.166079,9996.986749,9151.761,11758.39,12365.42093,13287.9928,17001.75,4743.765778,6607.811,9334.335996,9994.452044,10153.28,13370.1527,19437.87,10634.94435,4114.627631,3160.48807,15933.34315,11428.02802,14254.05391,53676.19,12111.87,12.44829,5869.642,6144.494904,4234.742085,6413.860186,7258.23,9204.105525,313.169623,9661.220299,17164.41144,11845.08361,10994.73431,6052.516852,4342.907721,9954.755471,6298.579194,1022.190058
superpathway of phospholipid biosynthesis I (bacteria),6986.289836,6729.578031,4448.313947,16103.97101,13257.85665,10849.72,55755.05,73386.59,12017.48268,6643.970486,11518.83565,3774.861767,11333.42867,19526.05415,5001.016804,12675.3314,8568.529613,14214.9,7130.839855,12161.89538,7463.194,11204.67938,15955.3163,20989.30848,9660.516453,19.6269791,8751.59532,12951.28464,12955.99,15229.29,16121.50208,17333.26235,21994.73,6126.522779,8913.739,12804.72311,12936.49956,13266.4,17390.26718,25287.03,11597.32491,5835.528951,4428.928333,20545.0567,14374.31499,18626.99452,70590.45,15571.87,13.97869,7602.59,8219.987332,5743.880385,8380.503762,9491.6,11985.97984,356.39996,13059.16288,21081.8879,15434.88642,14170.15729,7767.442815,5637.267141,12840.77001,8110.40868,1473.314528
superpathway of polyamine biosynthesis II,583.295658,46.4724345,683.99006,2331.364912,902.47969,772.6398,6734.824,10887.41,798.156868,472.925157,62.532067,522.278382,1724.726444,2595.472713,522.418966,2308.701546,796.999726,1593.17,676.832426,439.063101,1324.128,981.118229,2927.288415,2569.623698,1089.661141,4.7605554,1039.621888,466.073084,2410.458,2135.288,1914.143785,2269.720728,3491.98,309.30166,1285.701,2739.3967,1599.127345,1020.338,1616.236117,2744.661,460.625454,548.127781,758.565496,3369.445395,1959.683097,1102.47984,5801.233,1472.603,0,768.0387,1313.613023,759.75472,1014.215955,1201.425,1380.100694,36.345089,1128.956155,1034.740297,2114.462105,2276.74753,1164.103225,826.229851,2028.761294,1102.000007,108.7756822
superpathway of polyamine biosynthesis I,1093.220603,2372.687133,1175.900708,5770.57241,4690.298364,4321.657,20418.22,27708.35,1820.373804,1318.514549,3798.247285,1033.200956,4410.335585,7031.365394,1744.082684,4003.329652,3168.780948,5196.574,1244.50919,728.153015,2281.721,3918.010004,6077.474403,8505.836874,3505.002269,8.1408496,1649.705142,3434.536199,3878.586,4924.907,6213.30006,6880.414016,6873.551,3607.324364,2324.276,3926.129469,4721.452491,5424.763,6606.910276,9512.319,1168.977432,2529.19109,1334.863499,6558.899392,4421.690518,7336.202158,29105.94,5522.551,1.767212,1359.076,1734.743799,1328.007455,3391.79815,3812.645,4637.676725,40.452495,3900.203321,8215.301598,3836.670438,4438.204237,3023.150048,2036.765162,4551.977881,2520.990611,109.0752947
polyisoprenoid biosynthesis (E. coli),5302.752322,5316.34647,3235.540079,12157.79253,9954.276674,8019.448,42510.83,56852.29,3289.034365,5087.698155,8455.766959,2827.921374,8481.684462,14541.13263,3743.531044,9809.912765,6365.450691,10559.65,5420.559558,9434.057136,5442.747,8380.948863,11931.62692,15518.69853,7153.714215,18.1321062,6637.731645,9942.505875,8778.258,11443.5,11940.43673,13018.99256,16767.97,4533.371092,6449.698,9016.083065,9724.539775,9820.741,12879.70155,18988.69,7073.699917,4027.27438,3042.900232,15567.94321,11046.47606,13838.53764,52885.48,11685.82,6.247266,5818.101,6006.990022,4150.86994,6387.983683,7091.772,8919.500029,134.869013,9550.447893,15007.69829,11607.21957,10568.89801,5888.537328,4297.70114,9775.889278,6072.071775,812.3176222
ppGpp biosynthesis,2143.083477,5560.86044,1363.845565,11052.98035,9200.660516,7059.808,36790.59,40997.06,1176.515354,1455.619067,9211.757354,1182.806266,7274.372256,13015.12236,3349.145468,8920.216661,5748.534151,9524.916,1913.711686,9412.356306,2348.265,7629.980538,10355.46971,13158.36891,6504.706839,10.9412912,3952.391888,10202.51573,4977.034,10590.68,10512.03028,11038.88887,15109.5,4817.236173,3832.198,5118.108771,8755.48255,8405.734,11558.84734,16919.31,2890.256336,3535.767905,1544.336317,14387.32563,10395.47131,12026.88417,37066.09,10740.83,2.317338,1667.686,5116.223278,1702.672875,5160.163603,5813.336,7813.350863,19.880043,5729.307045,12038.97258,4861.342029,9860.147313,5140.94762,3857.758247,8797.821138,5653.639009,712.5026175
protocatechuate degradation II (ortho-cleavage pathway),613.523375,76.7846181,987.231759,319.76787,1156.578887,364.8923,16416.82,19037.96,739.746381,472.88457,82.115803,548.58799,257.887273,649.80777,407.073409,2362.696993,345.30049,131.7885,966.866982,371.854853,1818.25,378.673345,486.110886,887.864475,249.196635,6.4064436,1171.926503,582.817581,5710.358,198.3086,238.744252,1794.938188,4919.488,159.320894,2230.17,4291.643188,410.136434,622.6316,241.372975,3128.748,61.743716,907.866572,1815.376909,2217.339375,4188.248105,2582.819427,16737.63,889.1577,7.499727,796.2212,1420.409738,1556.7258,1707.900437,1226.945,909.092753,7.529512,1226.828057,384.277278,1642.499278,698.964226,952.208898,718.806771,728.853563,801.131917,634.7367498
"superpathway of histidine, purine, and pyrimidine biosynthesis",2646.816178,4257.991833,1701.490424,13.063313,8.441367,110.0515,13689.44,14069.15,4557.392954,660.517019,9086.775135,1334.292846,876.550357,573.422164,1261.462281,2307.130387,165.129897,3.759373,1634.717804,1474.618613,2457.149,720.905661,0,395.614997,0,15.2668029,1614.232898,7052.26395,6338.722,189.7994,20.374141,1574.581745,3544.092,4549.572465,4970.655,5421.897178,359.856974,351.4769,0,2263.926,5836.394685,4079.349298,2019.583114,1733.12792,1499.924421,1424.09438,15498.7,36.62608,10.259015,1156.104,2312.855619,2099.539775,1134.794906,873.6157,512.486043,153.121383,7188.758579,16651.67226,5224.059008,33.947491,0,397.38679,0,553.443451,894.5749655
CMP-3-deoxy-D-manno-octulosonate biosynthesis I,5278.461134,5309.449797,3127.457902,11882.57961,9887.75,7979.329,40128.1,54622.08,1213.078578,5077.633269,8439.316423,2784.574718,8272.909457,14345.49441,3564.491194,9435.323274,6329.658138,10490.92,5394.992723,9465.358684,5424.782,8204.329794,11719.24922,15461.03704,7140.247376,13.7368421,6624.743639,9907.824935,8538.345,11206.53,11858.99962,12761.62704,16245.49,4911.226807,6390.504,8832.166756,9541.997624,9757.247,12819.99906,18679.2,3896.319942,3961.40882,2983.535624,15059.52866,10897.48839,13752.26228,51877,11592.09,2.181818,5765.979,5965.80216,4128.754492,6219.657658,6991.177,8835.158068,52.479043,9499.560632,8344.478874,11634.82998,10576.8957,5805.247934,4152.616786,9520.998406,6006.394888,571.1207877
benzoyl-CoA degradation I (aerobic),295.269171,43.1604158,425.768301,0,0,0,0,0,83.660749,139.212517,47.546933,207.459105,0,0,0,0,0,0,257.729667,163.031708,592.3113,0,0,0,0,0,407.40532,452.327677,2370.07,0,0,0,0,64.184022,1212.994,1755.836686,0,0,0,0,34.039745,514.175055,796.05731,0,0,0,0,0,0,251.9426,569.741668,643.089592,0,0,0,0,633.123754,121.691629,715.550659,0,0,0,0,0,0
mandelate degradation I,0,0,0,0,0,0,2435.195,1859.763,66.269447,0,0,0,0,0,79.363666,616.162833,10.072725,0,0,0,0,0,0,64.885517,0,1.7142857,0,0,0,0,6.93125,209.500417,361.5625,0,0,0,0,43.32798,0,328.619,0,0,0,358.26125,156.346354,218.665044,1254.732,0,0,0,0,0,344.106777,125.4965,59.555419,0,0,0,0,0,0,132.808427,0,53.187289,0
superpathway of taurine degradation,0,0,0,0,0,0,31.54043,0,3.908011,0,0,0,0,0,0,0,0,0,0,3.935542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.299915,0,0,0,0,0,0,0,0,0,0,0,0,19.94328,0,0,0,3.865859,0,0,0,0,240.547133,0,0
formaldehyde assimilation I (serine pathway),0,0,0,0,0,0,249.7439,0,45.965011,0,0,0,0,0,0,0,0,0,9.766082,0,0,0,0,0,0,0,0,0,55.22769,0,0,0,0,0,3.99073,0,0,0,0,0,38.979689,0,11.903577,0,231.681812,0,0,0,0,0,0,19.653085,0,0,0,3.845976,0,0,0,0,0,28.887913,0,4.959619,8.6565732
photorespiration,488.196646,70.6798515,840.540227,0,0,0,13821.63,12601.14,976.220511,326.852437,82.774898,401.446996,0,0,379.502893,2135.323639,76.221258,18.20751,542.091428,354.460227,1281.799,0,0,450.136595,0,7.120783,857.44395,632.634349,3998.235,11.94975,48.686,1393.052115,3294.327,130.359821,1735.683,3227.968419,118.488568,425.2749,87.501789,1957.555,191.624585,694.150312,1343.225275,1999.115295,1190.010427,1997.999108,9874.296,63.41518,0,597.2748,1225.764835,1175.381128,1527.806177,1061.798,438.81661,26.537233,941.994047,225.139564,1314.813765,0,0,702.394402,618.085267,527.955244,41.792033
formaldehyde assimilation II (RuMP Cycle),19.961372,3.9980999,7.989761,0,0,0,4280.34,1250.823,2704.413332,39.832658,7.996878,55.418631,67.663141,0,0,0,19.960408,0,0,0,0,0,0,0,0,10.9492598,3.998583,7.995552,302.3274,15.98519,0,27.962426,7.997441,5223.38977,3.998773,232.686939,0,31.93639,0,0,3449.703118,11.984536,3.997216,23.975649,236.5971,19.982195,11.99841,0,0,11.98674,106.734848,3.997926,0,15.97796,7.995507,83.274694,3.999189,163.269684,43.912926,0,0,0,0,0,228.2719782
superpathway of C1 compounds oxidation to CO2,0,0,0,0,0,0,0,0,26.682634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6660365,0,0,0,0,0,1.331031,0,0,0,0,0,0,0,3.947701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-lysine biosynthesis II,54.631848,11.9830047,155.085812,0,1.999737,0,4268.078,1249.494,534.438183,47.698203,79.584715,97.761402,35.899417,274.572725,566.365108,0,19.958811,0.9999385,39.804587,0,23.9315,344.391781,0,21.979615,0,0.9641476,0,67.700967,154.2789,1.999769,0,27.960459,105.1714,60.507962,255.6149,245.671814,0,31.93181,0,4.999134,728.449341,286.893681,70.940447,3.199568,15.985041,15.98789,11.99822,0,0,3.998155,131.065986,0,0,19.96328,14.664192,67.581406,111.191327,13622.64861,242.657658,2.999449,0,98.484992,0,0,71.7884034
L-lysine biosynthesis III,6098.881214,6340.58205,3746.697814,13675.90806,11439.8137,9140.162,49107.96,64471.5,11034.45582,5683.254401,11494.40452,3256.464964,9675.561354,16785.83344,4311.553028,11353.58926,7284.333846,12231.86,6088.314553,9762.986675,6232.698,9559.22098,13694.80144,17828.87874,8250.542292,20.1020434,7366.50744,11521.4965,10209.98,13061.21,13751.15178,14897.53915,19545.22,5617.704769,7772.441,10459.81261,11103.54281,11263.4,14693.79013,21691.31,12629.47749,5270.700251,3542.549232,17830.59496,12855.58652,15874.09439,60992.75,13411.01,13.530296,6486.436,6704.548222,4702.467438,7328.264231,8194.86,10256.24714,365.999279,11528.01144,19997.36296,13338.24464,12268.561,6742.968511,4891.863084,10999.17365,7049.542205,1169.654114
superpathway of L-isoleucine biosynthesis I,6390.88582,6369.687202,3968.145451,14734.08355,12224.01284,9861.189,53092,69029.84,10861.94703,6034.090906,11070.09508,3439.636252,10323.95776,17875.71839,4614.80005,11996.83738,7830.20845,12970.26,6453.44977,10279.00777,6687.791,10278.48966,14560.77382,19076.38377,8818.648097,20.6621101,7835.890958,11760.38258,11080.96,13898.66,14672.68691,15956.63973,20588.93,5640.640835,8114.126,11229.50787,11852.31875,12075.94,15830.01006,23286.25,12031.6288,5238.6303,3831.0935,19072.29808,13586.69525,17052.31978,64445.43,14327.6,14.512082,6886.287,7097.205061,5045.22288,7815.173547,8714.147,10998.30614,342.328477,11876.68014,17922.32213,14083.80016,12984.37993,7210.159061,5231.774201,11807.04002,7496.571839,1135.499471
glycine betaine degradation I,22.165945,4.9564524,7.430426,9.472198,2.482593,9.061599,799.3527,111.0466,2.497997,16.666666,2.486192,7.420789,18.749237,33.512826,15.338106,2.473285,55.742788,13.31662,28.865135,9.954407,4.914561,6.371677,13.064395,234.04405,15.869865,0,61.231545,2.497956,168.1016,13.82034,9.756147,19.454345,345.611,12.334223,106.5521,75.236183,38.307222,26.85538,40.52565,86.89211,0,66.060775,92.78716,52.814816,19.273651,60.697354,2077.58,30.4004,0,18.60386,78.707593,25.644021,42.897634,107.076,23.787543,0,0,9.917221,125.384641,484.061315,14.055854,22.943602,33.07262,11.984885,0
aerobic respiration I (cytochrome c),15017.6685,5168.543046,9193.335446,34217.96883,28374.51807,22933.6,122377.4,164534.2,4071.261248,14865.37324,5242.361725,8095.806107,23930.5507,41286.12519,10386.96727,27914.17761,18214.50206,30208.33,15660.28197,12957.47542,16001.8,23522.15762,33969.69912,44769.55416,20491.72646,41.1129793,16249.86827,11599.14145,25314.82,31498.9,34206.39142,37465.21071,48674.55,5586.893633,18308.07,25531.39281,27443.27449,28265.34,36882.2376,55217.66,3658.583852,10077.85377,8793.713201,44542.92463,32610.45966,40135.70926,161262.1,33257.13,21.744118,17016.29,10838.77121,12192.23237,18434.22626,20413.37,25504.93198,144.187448,26570.13768,5493.585956,33592.80493,30082.36509,16741.25571,12207.58874,27418.31958,17633.27324,1695.619707
S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,0,0,0,0,0,0,0,0,209.263804,0,0,23.291831,0,0,0,0,0,0,0,0,5.980214,0,0,7.996032,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999632,0,0,0,0,0,0,0,0,0,0,0,0,24.044829,0,0,0,0,0,0,0,0,0,0,49.482944,0,0,0
creatinine degradation II,0,0,0,0,0,0,0,0,0,0,0,17.508288,0,0,0,0,0,0,8.891707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.060533,44.15508,23.868449,0,0,0,0,23.223073,14.786503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84357,300.839642,17.842187,0,0,0,0,0,0
urea cycle,1760.516012,4535.20306,1459.503561,2010.577831,900.931681,635.9186,14662.71,14778.28,2001.980647,675.811806,4144.197019,956.939133,1649.78181,2404.866647,851.092672,2673.185659,714.582761,1338.493,1369.59399,9141.783946,1884.065,1005.57578,2650.259019,2275.173485,920.636101,10.2376895,3375.061533,8839.273103,6042.428,2349.748,1620.451928,2290.920724,4632.459,3271.716516,3695.099,5294.997115,1426.997382,991.109,1362.986937,2839.292,3243.289539,2643.786813,1953.420838,3540.581304,1997.995994,1466.119552,8959.28,1274.969,2.19553,1182.696,4884.814824,1995.830635,1287.697115,1289.665,1240.425845,38.851363,4339.047688,6211.744673,4379.451222,2002.277952,1011.911321,949.644113,2332.369028,1061.205977,107.245847
biotin biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,14.258241,0,0,0,0,11.98122,0,7.175918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.372433,35.78124,19.146977,0,0,0,0,19.159297,11.977319,0,0,0,9.594088,7.198871,0,0,0,0,0,0,0,0,0,9.589046,5294.105887,14.361947,0,0,0,0,0,0
